Daily Mean data          supplied by UK-air on 22/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 All Data are GMT hour ending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: V=verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds Headingley Kerbside,,,,,,,,,,,,,,,,,,Leeds Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,PM10 particulate matter (Hourly measured),status/unit,Nitric oxide,status/unit,Nitrogen dioxide,status/unit,Nitrogen oxides as nitrogen dioxide,status/unit,Non-volatile PM10 (Hourly measured),status/unit,Non-volatile PM2.5 (Hourly measured),status/unit,PM2.5 particulate matter (Hourly measured),status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM2.5 (Hourly measured),status/unit,Carbon monoxide,status/unit,PM10 particulate matter (Hourly measured),status/unit,Nitric oxide,status/unit,Nitrogen dioxide,status/unit,Nitrogen oxides as nitrogen dioxide,status/unit,Non-volatile PM10 (Hourly measured),status/unit,Non-volatile PM2.5 (Hourly measured),status/unit,Ozone,status/unit,PM2.5 particulate matter (Hourly measured),status/unit,Sulphur dioxide,status/unit,Volatile PM10 (Hourly measured),status/unit,Volatile PM2.5 (Hourly measured),status/unit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/12/10,32,V ugm-3 (TEOM FDMS),123,V ugm-3,71,V ugm-3,259,V ugm-3,24,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),0.56,V mgm-3,26,V ugm-3 (TEOM FDMS),38,V ugm-3,53,V ugm-3,111,V ugm-3,20,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),15,V ugm-3,26,V ugm-3 (TEOM FDMS),4,V ugm-3,7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
23/12/10,23,V ugm-3 (TEOM FDMS),101,V ugm-3,65,V ugm-3,218,V ugm-3,19,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),0.63,V mgm-3,17,V ugm-3 (TEOM FDMS),19,V ugm-3,38,V ugm-3,67,V ugm-3,13,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),24,V ugm-3,15,V ugm-3 (TEOM FDMS),1,V ugm-3,4,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
24/12/10,19,V ugm-3 (TEOM FDMS),92,V ugm-3,73,V ugm-3,214,V ugm-3,16,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.52,V mgm-3,13,V ugm-3 (TEOM FDMS),19,V ugm-3,44,V ugm-3,73,V ugm-3,10,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),28,V ugm-3,11,V ugm-3 (TEOM FDMS),2,V ugm-3,3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
25/12/10,17,V ugm-3 (TEOM FDMS),11,V ugm-3,32,V ugm-3,48,V ugm-3,14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),0.45,V mgm-3,18,V ugm-3 (TEOM FDMS),5,V ugm-3,26,V ugm-3,34,V ugm-3,14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),32,V ugm-3,16,V ugm-3 (TEOM FDMS),5,V ugm-3,3,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
26/12/10,32,V ugm-3 (TEOM FDMS),72,V ugm-3,66,V ugm-3,177,V ugm-3,25,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),0.58,V mgm-3,35,V ugm-3 (TEOM FDMS),54,V ugm-3,56,V ugm-3,138,V ugm-3,26,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),13,V ugm-3,31,V ugm-3 (TEOM FDMS),6,V ugm-3,9,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
27/12/10,28,V ugm-3 (TEOM FDMS),48,V ugm-3,68,V ugm-3,141,V ugm-3,22,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),0.43,V mgm-3,28,V ugm-3 (TEOM FDMS),20,V ugm-3,52,V ugm-3,82,V ugm-3,20,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),5,V ugm-3,24,V ugm-3 (TEOM FDMS),7,V ugm-3,7,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
28/12/10,30,V ugm-3 (TEOM FDMS),86,V ugm-3,65,V ugm-3,196,V ugm-3,25,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),0.5,V mgm-3,30,V ugm-3 (TEOM FDMS),40,V ugm-3,45,V ugm-3,106,V ugm-3,24,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),6,V ugm-3,29,V ugm-3 (TEOM FDMS),3,V ugm-3,6,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
29/12/10,55,V ugm-3 (TEOM FDMS),234,V ugm-3,83,V ugm-3,440,V ugm-3,47,V ugm-3 (TEOM FDMS),42,V ugm-3 (TEOM FDMS),50,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),0.92,V mgm-3,48,V ugm-3 (TEOM FDMS),150,V ugm-3,62,V ugm-3,291,V ugm-3,41,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),2,V ugm-3,46,V ugm-3 (TEOM FDMS),6,V ugm-3,7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
30/12/10,43,V ugm-3 (TEOM FDMS),197,V ugm-3,79,V ugm-3,380,V ugm-3,36,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),1.1,V mgm-3,51,V ugm-3 (TEOM FDMS),184,V ugm-3,74,V ugm-3,354,V ugm-3,42,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),2,V ugm-3,47,V ugm-3 (TEOM FDMS),9,V ugm-3,9,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
31/12/10,20,V ugm-3 (TEOM FDMS),70,V ugm-3,69,V ugm-3,177,V ugm-3,15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),0.51,V mgm-3,15,V ugm-3 (TEOM FDMS),19,V ugm-3,46,V ugm-3,76,V ugm-3,10,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),19,V ugm-3,15,V ugm-3 (TEOM FDMS),3,V ugm-3,5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
01/01/11,19,V ugm-3 (TEOM FDMS),31,V ugm-3,39,V ugm-3,86,V ugm-3,16,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),0.26,V mgm-3,13,V ugm-3 (TEOM FDMS),5,V ugm-3,18,V ugm-3,25,V ugm-3,10,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),46,V ugm-3,10,V ugm-3 (TEOM FDMS),0,V ugm-3,3,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
02/01/11,27,V ugm-3 (TEOM FDMS),24,V ugm-3,41,V ugm-3,77,V ugm-3,27,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),0.5,V mgm-3,11,V ugm-3 (TEOM FDMS),6,V ugm-3,29,V ugm-3,37,V ugm-3,9,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),40,V ugm-3,8,V ugm-3 (TEOM FDMS),3,V ugm-3,2,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
03/01/11,34,V ugm-3 (TEOM FDMS),30,V ugm-3,59,V ugm-3,104,V ugm-3,31,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),0.56,V mgm-3,21,V ugm-3 (TEOM FDMS),11,V ugm-3,44,V ugm-3,61,V ugm-3,16,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),28,V ugm-3,18,V ugm-3 (TEOM FDMS),3,V ugm-3,5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
04/01/11,17,V ugm-3 (TEOM FDMS),31,V ugm-3,50,V ugm-3,98,V ugm-3,13,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),0.67,V mgm-3,17,V ugm-3 (TEOM FDMS),16,V ugm-3,42,V ugm-3,66,V ugm-3,13,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),23,V ugm-3,15,V ugm-3 (TEOM FDMS),5,V ugm-3,4,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
