LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Index of Multiple Deprivation (IMD) Score,Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs),Income Score (rate),Income Rank (where 1 is most deprived),Income Decile (where 1 is most deprived 10% of LSOAs),Employment Score (rate),Employment Rank (where 1 is most deprived),Employment Decile (where 1 is most deprived 10% of LSOAs),"Education, Skills and Training Score","Education, Skills and Training Rank (where 1 is most deprived)","Education, Skills and Training Decile (where 1 is most deprived 10% of LSOAs)",Health Deprivation and Disability Score,Health Deprivation and Disability Rank (where 1 is most deprived),Health Deprivation and Disability Decile (where 1 is most deprived 10% of LSOAs),Crime Score,Crime Rank (where 1 is most deprived),Crime Decile (where 1 is most deprived 10% of LSOAs),Barriers to Housing and Services Score,Barriers to Housing and Services Rank (where 1 is most deprived),Barriers to Housing and Services Decile (where 1 is most deprived 10% of LSOAs),Living Environment Score,Living Environment Rank (where 1 is most deprived),Living Environment Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Children Index (IDACI) Score (rate),Income Deprivation Affecting Children Index (IDACI) Rank (where 1 is most deprived),Income Deprivation Affecting Children Index (IDACI) Decile (where 1 is most deprived 10% of LSOAs),Income Deprivation Affecting Older People (IDAOPI) Score (rate),Income Deprivation Affecting Older People (IDAOPI) Rank (where 1 is most deprived),Income Deprivation Affecting Older People (IDAOPI) Decile (where 1 is most deprived 10% of LSOAs),Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank (where 1 is most deprived),Children and Young People Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank (where 1 is most deprived),Adult Skills Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank (where 1 is most deprived),Geographical Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank (where 1 is most deprived),Wider Barriers Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Indoors Sub-domain Score,Indoors Sub-domain Rank (where 1 is most deprived),Indoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Outdoors Sub-domain Score,Outdoors Sub-domain Rank (where 1 is most deprived),Outdoors Sub-domain Decile (where 1 is most deprived 10% of LSOAs),Total population: mid 2012 (excluding prisoners),Dependent Children aged 0-15: mid 2012 (excluding prisoners),Population aged 16-59: mid 2012 (excluding prisoners),Older population aged 60 and over: mid 2012 (excluding prisoners),Working age population 18-59/64: for use with Employment Deprivation Domain (excluding prisoners) 
E01025263,Preston 005C,E07000123,Preston,36.897,5480,2,0.253,5292,2,0.208,4567,2,47.982,3545,2,1.627,1220,1,-0.729,26742,9,19.613,17301,6,5.308,28934,9,0.345,4742,2,0.229,9712,3,1.3,1836,1,0.396,7105,3,0.206,12337,4,0.032,15328,5,-1.034,28991,9,-0.311,20869,7,1537,335,831,371,851.25
E01025264,Preston 005D,E07000123,Preston,32.014,7320,3,0.222,6966,3,0.195,5382,2,28.959,9007,3,1.104,3683,2,0.123,14647,5,27.495,8734,3,6.231,27898,9,0.273,8052,3,0.214,10757,4,0.363,10647,4,0.387,7628,3,0.649,6264,2,0.147,14714,5,-1.215,30172,10,-0.059,17025,6,1472,300,877,295,889.75
E01025239,Preston 006A,E07000123,Preston,18.273,15635,5,0.129,14576,5,0.121,12421,4,6.412,25731,8,0.967,4668,2,0.027,16117,5,6.271,31549,10,13.747,19685,6,0.105,20742,7,0.2,11892,4,-1.012,29439,9,0.258,20797,7,-0.496,24122,8,-1.929,25712,8,-0.256,20225,7,0.136,13945,5,1390,201,712,477,723.75
E01025241,Preston 006B,E07000123,Preston,9.613,24694,8,0.071,23273,8,0.069,22655,7,3.801,28818,9,-0.142,18240,6,0.109,14860,5,3.874,32453,10,23.75,12144,4,0.082,23663,8,0.102,22330,7,-1.429,31689,10,0.227,24341,8,-0.71,26883,9,-2.629,28514,9,0.24,12985,4,0.499,8814,3,1590,285,873,432,879
E01025242,Preston 006C,E07000123,Preston,8.305,26348,9,0.066,24492,8,0.072,21995,7,2.65,30206,10,-0.115,17860,6,-0.533,24293,8,15.238,22738,7,15.384,18185,6,0.063,26519,9,0.085,25237,8,-1.371,31458,10,0.2,27145,9,0.421,9002,3,-3.515,30773,10,-0.76,26543,9,0.717,6379,2,1614,279,762,573,790.75
E01025243,Preston 006D,E07000123,Preston,18.055,15842,5,0.102,18039,6,0.109,14282,5,4.657,27769,9,0.773,6355,2,0.484,9262,3,5.196,32054,10,28.857,9239,3,0.067,25814,8,0.152,16159,5,-1.309,31216,10,0.239,22907,7,-0.607,25645,8,-2.118,26597,9,0.56,8624,3,0.41,9995,4,1968,364,1192,412,1209.25
E01025251,Preston 006E,E07000123,Preston,11.715,22139,7,0.101,18130,6,0.075,21075,7,11.002,20931,7,0.162,13765,5,-0.301,21073,7,9.714,29083,9,15.191,18359,6,0.107,20511,7,0.17,14515,5,-0.438,22999,8,0.285,17725,6,-0.152,18461,6,-1.73,24755,8,-0.387,21994,7,0.435,9673,3,1484,328,840,316,843.5
E01025234,Preston 007A,E07000123,Preston,34.975,6163,2,0.201,8283,3,0.19,5708,2,34.572,6989,3,1.27,2684,1,0.947,3849,2,11.191,27520,9,27.748,9833,3,0.255,8965,3,0.239,9066,3,0.691,6576,3,0.391,7390,3,-0.189,19138,6,-0.996,20954,7,0.388,10845,4,0.628,7338,3,1459,322,865,272,865.25
E01025235,Preston 007B,E07000123,Preston,18.402,15544,5,0.087,20322,7,0.102,15346,5,27.876,9461,3,0.416,10404,4,0.605,7600,3,14.035,24266,8,14.632,18860,6,0.128,18225,6,0.082,25635,8,0.132,14151,5,0.408,6296,2,0.276,11130,4,-2.425,27835,9,-0.185,19179,6,0.145,13780,5,1663,296,898,469,901.25
E01025237,Preston 007C,E07000123,Preston,31.193,7664,3,0.207,7871,3,0.16,8057,3,39.854,5380,2,1.005,4376,2,0.607,7574,3,9.175,29586,10,25.245,11242,4,0.286,7375,3,0.268,7417,3,0.899,4574,2,0.405,6487,2,-0.551,24891,8,-0.689,19261,6,0.375,11020,4,0.409,10011,4,1462,280,843,339,858.25
E01025238,Preston 007D,E07000123,Preston,44.284,3350,2,0.303,3258,1,0.223,3713,2,52.718,2693,1,1.437,1874,1,0.762,5658,2,14.493,23686,8,24.496,11709,4,0.319,5829,2,0.47,1156,1,0.994,3767,2,0.494,2265,1,-0.219,19639,6,0.053,15216,5,0.393,10771,4,0.292,11599,4,1560,407,907,246,896.25
E01025245,Preston 007E,E07000123,Preston,41.519,4053,2,0.302,3296,2,0.214,4235,2,49.659,3224,1,1.287,2592,1,0.812,5118,2,10.061,28742,9,19.067,15335,5,0.378,3550,2,0.362,3480,2,0.96,4046,2,0.478,2867,1,-1.277,31366,10,0.269,14089,5,0.178,13860,5,0.095,14574,5,2629,760,1504,365,1475
E01025252,Preston 007F,E07000123,Preston,20.401,13914,5,0.148,12683,4,0.109,14306,5,13.844,18347,6,0.775,6338,2,0.219,13168,5,11.537,27107,9,26.028,10788,4,0.165,14967,5,0.253,8199,3,-0.287,20776,7,0.307,15236,5,0.063,14723,5,-2.069,26365,9,0.554,8699,3,0.105,14400,5,1454,228,867,359,878
E01025233,Preston 008A,E07000123,Preston,8.984,25477,8,0.051,27629,9,0.054,26787,9,3.136,29640,10,-0.166,18589,6,0.332,11414,4,1.304,32817,10,30.22,8564,3,0.057,27440,9,0.099,22802,7,-1.264,31016,10,0.208,26377,9,-1.181,30865,10,-3.727,31157,10,0.55,8750,3,0.56,8059,3,1411,273,833,305,837
E01025240,Preston 008B,E07000123,Preston,8.14,26571,9,0.053,27240,9,0.056,26314,9,5.708,26534,9,0.322,11614,4,-0.649,25774,8,6.525,31407,10,19.472,15023,5,0.046,29072,9,0.088,24653,8,-1.253,30945,10,0.256,21053,7,-0.245,20082,7,-3.232,30177,10,0.209,13405,5,0.082,14755,5,1592,231,866,495,884.75
E01025261,Preston 008C,E07000123,Preston,15.21,18428,6,0.105,17587,6,0.103,15214,5,13.258,18855,6,0.449,10004,4,-0.195,19527,6,8.24,30326,10,18.813,15524,5,0.118,19170,6,0.127,18898,6,-0.128,18321,6,0.281,18214,6,-0.096,17457,6,-3.074,29805,10,0.173,13955,5,0.075,14876,5,1400,194,751,455,760.5
E01025266,Preston 008D,E07000123,Preston,9.467,24865,8,0.053,27145,9,0.072,21878,7,11.313,20653,7,-0.017,16371,5,-0.067,17558,6,4.018,32421,10,18.52,15742,5,0.04,29999,10,0.09,24196,8,-0.661,26006,8,0.307,15231,5,-0.51,24298,8,-3.72,31143,10,0.264,12629,4,-0.177,18865,6,1259,197,692,370,709.75
E01025309,Preston 008E,E07000123,Preston,23.356,11827,4,0.133,14215,5,0.131,11164,4,27.973,9415,3,0.827,5850,2,0.488,9213,3,7.399,30881,10,22.185,13172,5,0.19,13075,4,0.156,15845,5,0.666,6863,3,0.329,12905,4,-0.424,23042,8,-1.644,24360,8,0.357,11273,4,0.102,14467,5,1166,213,653,300,664
E01025236,Preston 009A,E07000123,Preston,54.453,1539,1,0.333,2246,1,0.237,3026,1,71.475,659,1,1.522,1548,1,1.826,227,1,9.773,29020,9,19.514,14996,5,0.394,3019,1,0.323,4890,2,1.603,732,1,0.52,1476,1,-1.739,32524,10,0.297,13934,5,-0.021,16788,6,0.461,9320,3,1463,420,831,212,834.5
E01025283,Preston 009B,E07000123,Preston,61.157,823,1,0.39,940,1,0.269,1868,1,85.389,146,1,1.738,911,1,1.119,2467,1,21.806,14576,5,16.142,17548,6,0.466,1332,1,0.396,2520,1,1.782,385,1,0.578,381,1,-0.06,16831,6,1.331,9202,3,-0.427,22564,7,0.561,8057,3,1723,580,928,215,928.75
E01025284,Preston 009C,E07000123,Preston,35.452,5976,2,0.194,8756,3,0.161,7986,3,42.626,4678,2,1.241,2848,1,1.529,685,1,6.914,31188,10,15.843,17807,6,0.276,7885,3,0.211,10994,4,0.982,3878,2,0.414,5884,2,-0.841,28334,9,-0.948,20671,7,-0.197,19362,6,0.3,11480,4,1798,398,987,413,1013.75
E01025285,Preston 009D,E07000123,Preston,33.876,6569,3,0.221,7048,3,0.169,7285,3,38.091,5890,2,0.785,6253,2,1.233,1772,1,9.711,29086,9,26.493,10514,4,0.283,7525,3,0.264,7627,3,0.594,7644,3,0.438,4567,2,-0.53,24597,8,-0.572,18585,6,0.46,9887,4,0.371,10498,4,1427,350,820,257,807.25
E01025286,Preston 009E,E07000123,Preston,66.821,435,1,0.422,525,1,0.326,614,1,81.508,240,1,1.883,625,1,1.216,1861,1,17.395,20050,7,12.151,21257,7,0.49,933,1,0.419,2052,1,1.552,867,1,0.59,284,1,-0.201,19321,6,0.708,11922,4,-0.546,24107,8,0.256,12113,4,1795,521,1040,234,1044
E01025287,Preston 009F,E07000123,Preston,58.587,1056,1,0.339,2045,1,0.281,1500,1,61.814,1465,1,1.867,654,1,1.763,282,1,12.348,26238,8,24.634,11631,4,0.422,2228,1,0.34,4246,2,1.312,1780,1,0.506,1891,1,-0.648,26191,8,0.328,13784,5,0.204,13506,5,0.639,7203,3,1966,411,1215,340,1214.5
E01025270,Preston 010A,E07000123,Preston,11.641,22217,7,0.083,21051,7,0.078,20411,7,6.69,25411,8,0.379,10876,4,0.283,12162,4,10.887,27834,9,6.744,27292,9,0.115,19530,6,0.092,23969,8,-0.733,26811,9,0.245,22288,7,0.161,13069,4,-3.873,31397,10,-0.635,25131,8,-0.455,22968,7,1603,278,983,342,996.75
E01025272,Preston 010B,E07000123,Preston,9.689,24595,8,0.041,29728,10,0.049,28166,9,1.986,30982,10,0.057,15301,5,0.622,7371,3,25.166,10870,4,7.703,26184,8,0.034,30807,10,0.077,26577,9,-1.45,31753,10,0.184,28517,9,1.012,3344,2,-4.975,32463,10,-0.772,26652,9,-0.119,17963,6,1556,322,978,256,979.75
E01025273,Preston 010C,E07000123,Preston,5.783,29418,9,0.025,32063,10,0.027,32168,10,1.273,31766,10,-0.068,17152,6,-0.61,25308,8,27.029,9146,3,5.182,29082,9,0.04,29913,10,0.074,26971,9,-1.411,31632,10,0.153,30484,10,1.125,2752,1,-5.825,32749,10,-1.436,31253,10,-0.136,18242,6,1418,317,944,157,926.5
