Area Codes,Area Names,,All Ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E01025270,,Preston 010A,"1,592",21,21,12,23,17,17,19,14,14,17,20,19,17,12,18,15,19,23,19,22,22,17,27,19,21,35,33,23,18,13,15,17,15,12,17,23,22,20,16,21,17,24,25,24,27,17,29,13,25,18,25,35,34,32,36,24,26,17,14,12,21,19,23,20,23,20,22,12,14,11,10,18,10,6,4,12,8,7,11,4,10,9,10,11,7,6,3,4,2,4,12
E01025272,,Preston 010B,"1,551",24,13,20,27,19,11,21,19,17,14,21,16,27,22,15,20,21,28,17,19,31,20,24,23,19,25,28,18,22,14,7,17,14,16,17,27,20,19,18,18,18,20,26,31,27,28,34,30,26,30,31,30,35,26,21,27,12,19,11,17,18,14,21,16,15,15,11,18,15,17,5,7,6,8,3,10,8,5,4,10,3,4,4,8,2,3,2,6,3,0,3
E01025273,,Preston 010C,"1,369",6,16,15,16,12,16,13,17,16,26,19,19,18,17,30,20,24,18,21,18,21,21,23,13,15,14,12,7,8,4,8,11,11,10,16,8,17,9,19,12,22,14,16,27,34,41,30,35,42,36,52,36,34,32,24,25,15,19,19,19,18,17,13,15,13,12,11,12,3,11,9,11,4,5,4,3,4,2,4,4,1,1,0,0,1,0,0,2,0,0,1
E01025288,,Preston 010D,"1,597",17,23,23,25,15,25,17,19,15,14,10,12,12,4,10,6,7,11,4,11,24,24,29,37,42,49,41,45,32,44,33,31,27,32,32,18,24,21,39,31,23,19,22,22,20,14,17,35,20,29,27,19,31,21,24,17,18,13,22,14,10,11,12,8,14,11,13,16,8,10,12,12,4,16,9,5,5,1,1,2,8,12,10,3,2,2,2,2,2,3,9
E01025246,,Preston 011A,"1,710",35,26,20,27,39,20,39,31,36,36,27,43,35,32,19,23,17,34,25,24,25,35,31,27,21,22,26,28,24,30,38,33,30,25,34,30,22,27,30,27,25,23,33,31,26,26,20,22,14,16,10,15,20,16,12,8,13,16,9,4,8,16,18,10,7,12,12,8,3,8,4,5,5,8,4,4,4,10,8,7,4,10,4,4,8,1,0,2,1,0,3
E01025274,,Preston 011B,"1,850",21,28,21,27,19,34,18,22,13,17,11,9,8,10,9,17,13,12,6,22,103,126,112,82,70,48,43,38,39,45,39,34,37,33,39,20,23,27,23,23,14,23,21,22,15,19,19,20,18,14,14,15,11,18,8,20,14,12,12,10,12,11,7,9,10,4,6,10,4,7,9,3,11,7,11,5,5,4,5,6,8,2,3,4,6,2,1,4,0,4,10
E01025275,,Preston 011C,"1,652",30,27,30,21,19,18,15,14,11,11,9,6,11,15,11,13,15,20,13,23,77,86,85,41,50,26,26,18,24,21,26,26,20,21,22,31,8,25,24,16,15,20,21,20,21,18,22,24,13,19,26,22,18,21,13,19,17,15,21,13,13,13,12,14,15,20,16,12,11,13,6,7,11,9,6,7,10,5,4,10,8,6,8,6,4,1,3,2,3,6,8
E01025294,,Preston 011D,"1,917",32,33,19,31,30,32,36,26,33,24,25,28,19,25,19,19,23,26,21,30,97,93,73,55,60,28,30,32,33,31,35,33,41,34,38,33,28,19,27,19,24,24,31,23,24,30,22,11,20,19,13,14,25,11,15,21,23,10,15,12,11,19,12,7,7,8,5,15,3,5,4,3,1,7,9,9,5,4,4,4,3,2,3,2,2,2,0,1,0,1,2
E01025276,,Preston 012A,"1,697",28,20,27,26,32,26,26,19,24,27,13,24,13,16,9,26,30,23,11,16,39,36,36,50,41,38,31,29,24,32,28,36,34,31,31,28,20,23,26,17,22,22,17,20,25,16,18,17,22,17,20,25,19,24,19,17,16,18,15,14,11,14,14,8,12,12,13,6,9,10,9,9,14,9,9,7,6,6,6,0,13,10,9,10,3,4,2,1,1,3,8
E01025308,,Preston 012B,"1,601",25,24,25,33,18,19,24,16,21,18,19,15,16,15,13,21,15,15,13,18,45,54,53,48,32,37,25,28,29,39,36,36,33,33,37,35,21,26,30,18,20,23,23,28,15,22,13,18,24,12,22,28,11,21,10,10,11,15,11,17,17,6,6,6,11,12,8,10,6,5,10,9,1,9,4,6,7,8,6,5,0,2,4,0,1,1,5,1,0,0,3
E01025310,,Preston 012C,"1,618",34,36,24,32,34,17,16,11,17,11,17,14,6,10,12,7,12,12,13,5,51,65,57,62,54,38,34,43,38,32,45,27,31,37,32,28,25,17,21,18,20,21,18,19,27,12,15,15,18,22,17,18,14,11,10,13,11,13,9,16,10,9,12,13,14,10,7,12,6,6,6,6,13,11,6,4,5,8,5,4,7,4,2,5,3,2,1,0,0,3,10
E01025311,,Preston 012D,"1,318",28,23,20,32,25,11,20,13,18,8,9,12,5,9,7,10,8,13,14,9,13,24,14,28,31,25,36,33,35,26,27,27,29,29,30,20,10,11,12,10,17,16,19,16,16,21,18,18,18,13,22,15,15,19,15,13,16,13,19,14,23,8,9,12,7,10,10,12,12,17,12,9,7,5,10,3,3,5,7,2,4,2,4,4,2,6,3,3,4,0,6
E01025312,,Preston 012E,"1,626",27,26,30,23,28,27,19,20,13,21,14,9,11,12,9,14,16,11,12,9,32,49,60,45,41,38,32,44,39,45,41,33,27,27,25,34,19,25,29,27,17,18,25,24,20,16,29,19,20,27,16,28,20,21,19,17,14,14,12,10,12,13,15,10,11,10,7,10,5,7,4,4,6,3,3,8,8,6,5,9,1,2,0,2,1,1,3,3,1,2,5
E01025313,,Preston 012F,"1,925",13,16,24,26,18,17,12,10,10,8,10,3,8,6,8,13,12,13,36,111,152,213,175,133,70,21,25,24,24,20,23,21,24,21,20,22,15,24,24,14,15,14,14,16,22,17,18,22,17,20,4,9,11,13,14,12,16,13,16,10,11,14,14,13,12,13,12,6,10,14,6,7,3,4,10,6,1,4,1,3,4,1,6,3,2,5,0,0,2,3,3
E01025314,,Preston 012G,"2,480",15,22,21,25,16,8,11,6,7,4,6,12,8,3,4,14,18,30,87,290,217,238,201,124,71,43,45,38,44,48,39,38,32,32,31,28,23,18,25,15,21,21,13,18,17,17,19,18,13,18,10,18,21,14,9,16,11,10,13,12,15,12,11,11,4,13,8,16,11,5,7,5,7,5,5,15,7,14,7,2,4,5,6,2,1,5,1,0,3,3,4
E01025231,,Preston 013A,"1,442",13,9,5,8,14,10,14,16,17,6,23,22,21,16,22,14,15,13,15,17,12,24,15,21,16,8,16,21,16,11,12,7,11,13,10,19,16,11,15,13,17,22,15,17,23,16,33,26,21,22,20,15,16,22,21,14,21,25,22,21,18,18,18,20,17,17,21,15,18,12,25,22,8,7,15,8,17,13,10,14,24,11,10,14,11,14,12,8,6,11,22
E01025232,,Preston 013B,"1,609",29,22,25,23,20,30,14,14,20,12,14,13,10,14,13,14,12,8,18,17,49,64,56,52,67,30,26,24,37,45,41,34,33,30,40,44,28,32,16,19,19,17,16,17,17,22,19,26,18,24,29,26,13,19,8,15,14,14,16,12,6,7,8,6,8,6,7,6,5,6,4,7,4,4,4,4,7,5,1,4,7,4,5,5,2,0,3,0,0,1,3
E01025265,,Preston 013C,"1,408",22,10,11,13,15,12,12,23,6,18,13,12,9,19,13,16,18,24,14,18,23,25,17,21,17,19,16,20,18,19,21,21,22,16,19,13,13,6,15,9,13,22,24,21,22,23,36,35,16,24,31,32,39,20,27,22,20,18,24,18,15,17,15,19,12,9,20,21,14,6,12,9,11,9,9,6,6,9,4,7,4,4,7,6,1,2,7,2,3,1,6
E01025267,,Preston 013D,"1,423",21,19,19,14,18,18,20,18,20,12,21,16,27,15,13,15,15,14,22,18,22,18,14,18,13,29,19,25,19,19,19,11,17,17,15,15,15,18,15,14,16,18,12,12,20,16,21,23,19,28,23,25,28,20,19,20,12,14,15,14,13,22,18,16,18,11,14,15,10,10,14,10,15,8,14,13,7,11,13,15,12,9,11,9,5,5,5,5,5,6,2
E01025268,,Preston 013E,"1,781",38,33,22,37,30,20,19,24,16,27,23,17,15,22,19,21,25,18,14,18,18,28,19,26,28,34,35,29,29,26,29,23,22,22,21,28,15,22,19,20,26,35,27,22,24,24,13,24,20,24,30,28,15,27,22,25,15,17,19,21,15,18,20,18,14,17,19,28,11,11,10,17,14,10,9,19,16,10,13,9,11,5,4,6,6,6,6,3,7,5,15
E01025269,,Preston 013F,"1,848",37,30,26,30,35,48,45,31,41,30,22,24,21,22,18,22,29,29,28,18,22,22,27,36,29,34,40,34,34,27,31,17,30,26,27,24,26,22,29,21,25,24,22,23,20,24,22,18,20,20,13,17,24,22,29,19,16,21,21,18,12,16,20,21,19,17,12,14,9,9,10,6,13,10,7,7,3,7,9,5,10,5,9,6,5,6,1,2,1,1,14
